Format Version,1.1,Take Name,Take 2021-03-01 05.56.04 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-03-01 05.56.04.712 AM,Total Frames,2101,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.014776,-0.004471,0.004901,0.999869,-0.400242,0.419355,0.292913,0.000021,-0.405294,0.505219,0.290386,0.958806,-0.395162,0.330234,0.293996,0.970116,-0.400269,0.422611,0.294357,0.946952,-0.300484,0.001998,0.000018,-0.000395,0.001672,0.000228,-0.000048,0.001422,0.399269,-3.386227,0.723946,-0.448059,-0.405296,0.505232,0.290371,-0.395163,0.330238,0.293981,-0.400265,0.422594,0.294387,,,,,,,,,,,,,,,,,,
17,0.141667,-0.014282,-0.010646,0.004948,0.999829,-0.400234,0.419252,0.292940,0.000063,-0.405279,0.505117,0.290440,0.851659,-0.395142,0.330132,0.293992,0.906689,-0.400280,0.422506,0.294387,0.865666,-0.300494,0.002013,0.000066,-0.000352,0.001709,0.000241,-0.000067,0.001384,0.399288,-3.385210,0.724473,-0.447182,-0.405282,0.505166,0.290436,-0.395148,0.330126,0.293974,-0.400276,0.422461,0.294404,,,,,,,,,,,,,,,,,,
18,0.150000,-0.014274,-0.016742,0.004902,0.999746,-0.400297,0.419199,0.292929,0.000098,-0.405319,0.505064,0.290374,0.758340,-0.395211,0.330079,0.294036,0.854624,-0.400361,0.422453,0.294376,0.797799,-0.300550,0.001976,0.000066,-0.000417,0.001678,0.000225,-0.000115,0.001387,0.399278,-3.385150,0.724492,-0.447200,-0.405353,0.505144,0.290347,-0.395231,0.330067,0.293993,-0.400370,0.422388,0.294416,,,,,,,,,,,,,,,,,,
19,0.158333,0.003116,-0.331520,0.007160,0.943416,-0.400720,0.419602,0.292964,0.001910,-0.405385,0.505489,0.290462,0.494356,-0.395055,0.330520,0.294250,0.486049,-0.401720,0.422797,0.294180,0.000000,-0.300430,0.001922,0.000094,-0.000471,0.001606,0.000233,-0.000127,0.001375,0.399356,-3.385199,0.724446,-0.447192,-0.405391,0.504941,0.290475,-0.395059,0.329916,0.294259,-0.401800,0.425056,0.293983,,,,,,,,,,,,,,,,,,
20,0.166667,-0.015269,-0.002509,0.005341,0.999866,-0.400258,0.419046,0.293011,0.000087,-0.405391,0.504904,0.290417,0.739036,-0.395101,0.329931,0.294163,0.873720,-0.400283,0.422304,0.294452,0.863930,-0.300516,0.001878,0.000029,-0.000517,0.001525,0.000204,-0.000117,0.001347,0.399275,-3.385058,0.724482,-0.447170,-0.405384,0.504996,0.290327,-0.395112,0.329897,0.294082,-0.400259,0.422271,0.294560,,,,,,,,,,,,,,,,,,
21,0.175000,0.005726,-0.370364,0.007049,0.928842,-0.400760,0.419833,0.292813,0.001912,-0.405350,0.505727,0.290413,0.497782,-0.395068,0.330751,0.294067,0.495845,-0.401863,0.423019,0.293960,0.000000,-0.300534,0.001974,0.000035,-0.000447,0.001642,0.000198,-0.000062,0.001453,0.399299,-3.386220,0.723902,-0.448046,-0.405359,0.505152,0.290443,-0.395076,0.330158,0.294093,-0.401951,0.425293,0.293812,,,,,,,,,,,,,,,,,,
22,0.183333,0.005474,-0.365301,0.006857,0.930848,-0.400739,0.419821,0.292739,0.001886,-0.405311,0.505717,0.290352,0.498649,-0.395079,0.330738,0.293968,0.498677,-0.401827,0.423009,0.293897,0.000000,-0.300448,0.001932,0.000033,-0.000389,0.001587,0.000241,0.000016,0.001377,0.399297,-3.385154,0.724447,-0.447188,-0.405280,0.505145,0.290379,-0.395055,0.330158,0.293990,-0.401871,0.425257,0.293735,,,,,,,,,,,,,,,,,,
23,0.191667,-0.013880,-0.012982,0.004697,0.999808,-0.400276,0.419334,0.292946,0.000125,-0.405273,0.505204,0.290494,0.728844,-0.395226,0.330211,0.293948,0.811605,-0.400327,0.422587,0.294396,0.709278,-0.300411,0.002048,0.000123,-0.000289,0.001681,0.000283,0.000003,0.001321,0.399278,-3.386290,0.723902,-0.448085,-0.405276,0.505295,0.290504,-0.395226,0.330217,0.293962,-0.400319,0.422490,0.294379,,,,,,,,,,,,,,,,,,
24,0.200000,0.007879,-0.405279,0.006683,0.914135,-0.401039,0.419973,0.292710,0.002060,-0.405512,0.505876,0.290390,0.492319,-0.395377,0.330890,0.293954,0.479380,-0.402228,0.423154,0.293786,0.000000,-0.300390,0.002086,0.000054,-0.000377,0.001764,0.000284,-0.000100,0.001368,0.399258,-3.385159,0.724485,-0.447183,-0.405429,0.505306,0.290396,-0.395294,0.330233,0.293948,-0.402221,0.425586,0.293611,,,,,,,,,,,,,,,,,,
25,0.208333,-0.015027,-0.004478,0.005091,0.999864,-0.400292,0.419171,0.292962,0.000036,-0.405376,0.505032,0.290392,0.930464,-0.395178,0.330053,0.294090,0.949761,-0.400320,0.422428,0.294405,0.905676,-0.300579,0.001873,0.000016,-0.000499,0.001538,0.000206,-0.000086,0.001362,0.399275,-3.385056,0.724546,-0.447168,-0.405382,0.505053,0.290350,-0.395183,0.330061,0.294049,-0.400310,0.422399,0.294487,,,,,,,,,,,,,,,,,,
